"Year","Type","Count"
1966,"Wind",0
1967,"Biomass",0
1967,"Hydroelectric",7
1967,"Solar",0
1967,"Tidal",0
1967,"Wind",0
1968,"Biomass",0
1968,"Hydroelectric",7
1968,"Solar",0
1968,"Tidal",0
1968,"Wind",0
1969,"Biomass",0
1969,"Hydroelectric",7
1969,"Solar",0
1969,"Tidal",0
1969,"Wind",0
1970,"Biomass",0
1970,"Hydroelectric",8
1970,"Solar",0
1970,"Tidal",0
1970,"Wind",0
1971,"Biomass",0
1971,"Hydroelectric",8
1971,"Solar",0
1971,"Tidal",0
1971,"Wind",0
1972,"Biomass",0
1972,"Hydroelectric",8
1972,"Solar",0
1972,"Tidal",0
1972,"Wind",0
1973,"Biomass",0
1973,"Hydroelectric",8
1973,"Solar",0
1973,"Tidal",0
1973,"Wind",0
1974,"Biomass",0
1974,"Hydroelectric",8
1974,"Solar",0
1974,"Tidal",0
1974,"Wind",0
1975,"Biomass",0
1975,"Hydroelectric",8
1975,"Solar",0
1975,"Tidal",0
1975,"Wind",0
1976,"Biomass",0
1976,"Hydroelectric",8
1976,"Solar",0
1976,"Tidal",0
1976,"Wind",0
1977,"Biomass",0
1977,"Hydroelectric",8
1977,"Solar",0
1977,"Tidal",0
1977,"Wind",0
1978,"Biomass",0
1978,"Hydroelectric",8
1978,"Solar",0
1978,"Tidal",0
1978,"Wind",0
1979,"Biomass",0
1979,"Hydroelectric",9
1979,"Solar",0
1979,"Tidal",0
1979,"Wind",0
1980,"Biomass",0
1980,"Hydroelectric",10
1980,"Solar",0
1980,"Tidal",0
1980,"Wind",0
1981,"Biomass",0
1981,"Hydroelectric",10
1981,"Solar",0
1981,"Tidal",0
1981,"Wind",0
1982,"Biomass",0
1982,"Hydroelectric",10
1982,"Solar",0
1982,"Tidal",0
1982,"Wind",0
1983,"Biomass",0
1983,"Hydroelectric",11
1983,"Solar",0
1983,"Tidal",1
1983,"Wind",0
1984,"Biomass",0
1984,"Hydroelectric",11
1984,"Solar",0
1984,"Tidal",1
1984,"Wind",0
1985,"Biomass",0
1985,"Hydroelectric",11
1985,"Solar",0
1985,"Tidal",1
1985,"Wind",0
1986,"Biomass",0
1986,"Hydroelectric",11
1986,"Solar",0
1986,"Tidal",1
1986,"Wind",0
1987,"Biomass",0
1987,"Hydroelectric",11
1987,"Solar",0
1987,"Tidal",1
1987,"Wind",0
1988,"Biomass",0
1988,"Hydroelectric",11
1988,"Solar",0
1988,"Tidal",1
1988,"Wind",0
1989,"Biomass",0
1989,"Hydroelectric",11
1989,"Solar",0
1989,"Tidal",1
1989,"Wind",0
1990,"Biomass",0
1990,"Hydroelectric",11
1990,"Solar",0
1990,"Tidal",1
1990,"Wind",0
1991,"Biomass",0
1991,"Hydroelectric",11
1991,"Solar",0
1991,"Tidal",1
1991,"Wind",0
1992,"Biomass",0
1992,"Hydroelectric",11
1992,"Solar",0
1992,"Tidal",1
1992,"Wind",0
1993,"Biomass",0
1993,"Hydroelectric",11
1993,"Solar",0
1993,"Tidal",1
1993,"Wind",0
1994,"Biomass",0
1994,"Hydroelectric",11
1994,"Solar",0
1994,"Tidal",1
1994,"Wind",0
1995,"Biomass",0
1995,"Hydroelectric",11
1995,"Solar",0
1995,"Tidal",1
1995,"Wind",0
1996,"Biomass",0
1996,"Hydroelectric",11
1996,"Solar",0
1996,"Tidal",1
1996,"Wind",0
1997,"Biomass",0
1997,"Hydroelectric",11
1997,"Solar",0
1997,"Tidal",1
1997,"Wind",0
1998,"Biomass",0
1998,"Hydroelectric",11
1998,"Solar",0
1998,"Tidal",1
1998,"Wind",0
1999,"Biomass",1
1999,"Hydroelectric",12
1999,"Solar",0
1999,"Tidal",1
1999,"Wind",0
2000,"Biomass",1
2000,"Hydroelectric",12
2000,"Solar",0
2000,"Tidal",1
2000,"Wind",0
2001,"Biomass",1
2001,"Hydroelectric",13
2001,"Solar",0
2001,"Tidal",1
2001,"Wind",0
2002,"Biomass",1
2002,"Hydroelectric",13
2002,"Solar",0
2002,"Tidal",1
2002,"Wind",0
2003,"Biomass",1
2003,"Hydroelectric",13
2003,"Solar",0
2003,"Tidal",1
2003,"Wind",0
2004,"Biomass",1
2004,"Hydroelectric",13
2004,"Solar",0
2004,"Tidal",1
2004,"Wind",1
2005,"Biomass",1
2005,"Hydroelectric",13
2005,"Solar",0
2005,"Tidal",1
2005,"Wind",2
2006,"Biomass",1
2006,"Hydroelectric",13
2006,"Solar",0
2006,"Tidal",1
2006,"Wind",2
2007,"Biomass",1
2007,"Hydroelectric",13
2007,"Solar",0
2007,"Tidal",1
2007,"Wind",3
2008,"Biomass",1
2008,"Hydroelectric",13
2008,"Solar",0
2008,"Tidal",1
2008,"Wind",6
2009,"Biomass",1
2009,"Hydroelectric",13
2009,"Solar",0
2009,"Tidal",1
2009,"Wind",8
2010,"Biomass",1
2010,"Hydroelectric",13
2010,"Solar",0
2010,"Tidal",1
2010,"Wind",9
2011,"Biomass",1
2011,"Hydroelectric",13
2011,"Solar",0
2011,"Tidal",1
2011,"Wind",10
2012,"Biomass",2
2012,"Hydroelectric",13
2012,"Solar",0
2012,"Tidal",1
2012,"Wind",10
2013,"Biomass",4
2013,"Hydroelectric",14
2013,"Solar",2
2013,"Tidal",1
2013,"Wind",12
2014,"Biomass",4
2014,"Hydroelectric",14
2014,"Solar",3
2014,"Tidal",1
2014,"Wind",14
2015,"Biomass",4
2015,"Hydroelectric",14
2015,"Solar",4
2015,"Tidal",1
2015,"Wind",14
2016,"Biomass",5
2016,"Hydroelectric",14
2016,"Solar",4
2016,"Tidal",1
2016,"Wind",14
2017,"Biomass",5
2017,"Hydroelectric",14
2017,"Solar",5
2017,"Tidal",2
2017,"Wind",14
2018,"Biomass",5
2018,"Hydroelectric",14
2018,"Solar",7
2018,"Tidal",2
2018,"Wind",15
2019,"Biomass",5
2019,"Hydroelectric",14
2019,"Solar",7
2019,"Tidal",2
2019,"Wind",15
